"Story","Title","Result","Date","Stability","Duration (s)"
"Register","Register Failed","SUCCESS","2023-11-28T20:32:17.035-05:00[America/Bogota]","0.0","11.83"
"Register","Register Successful","ERROR","2023-11-29T16:31:41.163-05:00[America/Bogota]","0.0","28.9"
