"Story","Title","Result","Date","Stability","Duration (s)"
"Register","Register Successful","ERROR","2023-11-28T20:16:03.793-05:00[America/Bogota]","0.0","0.64"
"Register","Register Failed","ERROR","2023-11-28T20:16:04.776-05:00[America/Bogota]","0.0","0.11"
